 Seconds	 Resist. (Ohm)
      2 	10000.2583 
      4 	10020.0942 
      6 	10020.1191 
      8 	10020.1325 
     10 	10020.1601 
     12 	10020.1928 
     14 	10020.2174 
     16 	10020.2412 
     19 	10020.2644 
     21 	10020.3003 
     23 	10020.3174 
     25 	10020.3527 
     27 	10020.3879 
     29 	10020.4177 
     31 	10020.4497 
     33 	10020.4787 
     36 	10020.5042 
     38 	10020.5362 
     40 	10020.5747 
     42 	10020.6031 
     44 	10020.6332 
     46 	10020.6564 
     48 	10020.6943 
     50 	10020.7304 
     53 	10020.7687 
     55 	10020.8018 
     57 	10020.8316 
     59 	10020.8696 
     61 	10020.9008 
     63 	10020.936 
     65 	10020.9737 
     67 	10021.0229 
     70 	10021.0487 
     72 	10021.0803 
     74 	10021.1174 
     76 	10021.1561 
     78 	10021.1969 
     80 	10021.2273 
     82 	10021.2686 
     84 	10021.3012 
     87 	10021.3393 
     89 	10021.3788 
     91 	10021.422 
     93 	10021.4544 
     95 	10021.4978 
     97 	10021.5232 
     99 	10021.5543 
    101 	10021.6029 
    103 	10021.6396 
    106 	10021.6767 
    108 	10021.7085 
    110 	10021.7564 
    112 	10021.7902 
    114 	10021.8211 
    116 	10021.8623 
    118 	10021.902 
    121 	10021.9407 
    123 	10021.9742 
    125 	10022.0003 
    127 	10022.0578 
    129 	10022.0982 
    131 	10022.1349 
    133 	10022.175 
    135 	10022.2135 
    138 	10022.2468 
    140 	10022.2888 
    142 	10022.3259 
    144 	10022.3653 
    146 	10022.4111 
    148 	10022.4485 
    150 	10022.4832 
    152 	10022.5308 
    155 	10022.5725 
    157 	10022.605 
    159 	10022.6536 
    161 	10022.6981 
    163 	10022.7361 
    165 	10022.7756 
    167 	10022.8155 
    169 	10022.8601 
    172 	10022.8975 
    174 	10022.944 
    176 	10022.9695 
    178 	10023.0164 
    180 	10023.0575 
    182 	10023.0927 
    184 	10023.1404 
    186 	10023.1758 
    189 	10023.2241 
    191 	10023.2594 
    193 	10023.3022 
    195 	10023.3402 
    197 	10023.381 
    199 	10023.4158 
    201 	10023.4628 
    203 	10023.5034 
    206 	10023.5397 
    208 	10023.5813 
    210 	10023.6213 
    212 	 10023.66 
    214 	10023.7033 
    216 	10023.7485 
    218 	10023.7785 
    220 	10023.8324 
    223 	10023.8745 
    225 	10023.9085 
    227 	10023.9454 
    229 	10023.9787 
    231 	10024.0269 
    233 	10024.0686 
    235 	10024.1096 
    237 	10024.1486 
    240 	10024.1811 
    242 	10024.2319 
    244 	10024.2715 
    246 	10024.3047 
    248 	10024.3489 
    250 	10024.3976 
    252 	10024.4263 
    254 	10024.4626 
    257 	10024.5036 
    259 	10024.5522 
    261 	10024.5842 
    263 	10024.6171 
    265 	10024.6685 
    267 	10024.7142 
    269 	10024.7443 
    271 	10024.7816 
    274 	10024.8302 
    276 	10024.8737 
    278 	10024.9113 
    280 	10024.9426 
    282 	10024.9875 
    284 	10025.0292 
    286 	10025.0788 
    289 	10025.1155 
    291 	10025.1532 
    293 	10025.1763 
    295 	10025.2297 
    297 	10025.2809 
    299 	10025.3102 
    301 	10025.3493 
    303 	10025.3821 
    305 	10025.4343 
    308 	10025.4806 
    310 	10025.4843 
    312 	10025.5415 
    314 	10025.5892 
    316 	10025.6168 
    318 	10025.6538 
    320 	10025.6923 
    322 	10025.7393 
    325 	10025.7771 
    327 	10025.8079 
    329 	10025.8493 
    331 	10025.8817 
    333 	 10025.93 
    335 	10025.9761 
    337 	10026.0075 
    340 	10026.0451 
    342 	10026.0853 
    344 	10026.1158 
    346 	10026.1631 
    348 	10026.2024 
    350 	10026.2397 
    352 	10026.2765 
    354 	10026.3198 
    356 	10026.3396 
    359 	10026.392 
    361 	10026.4309 
    363 	10026.4754 
    365 	10026.4996 
    367 	10026.5418 
    369 	10026.5844 
    371 	10026.6134 
    374 	10026.6509 
    376 	10026.691 
    378 	10026.725 
    380 	10026.7639 
    382 	10026.804 
    384 	10026.8291 
    386 	10026.8692 
    388 	10026.9163 
    390 	10026.9514 
    393 	10026.9882 
    395 	10027.0262 
    397 	10027.0532 
    399 	10027.099 
    401 	10027.1305 
    403 	10027.1679 
    405 	10027.2019 
    407 	10027.2467 
    410 	10027.269 
    412 	10027.2997 
    414 	10027.3418 
    416 	10027.3716 
    418 	10027.4151 
    420 	10027.4474 
    422 	10027.4851 
    425 	10027.5216 
    427 	10027.5476 
    429 	10027.586 
    431 	10027.6177 
    433 	10027.6573 
    435 	10027.6983 
    437 	10027.7308 
    439 	10027.7642 
    441 	10027.8034 
    444 	10027.8359 
    446 	10027.8766 
    448 	10027.9071 
    450 	10027.9387 
    452 	10027.9694 
    454 	10028.0118 
    456 	10028.0381 
