 Seconds	 Resist. (Ohm)
    615 	10032.3884 
    617 	10032.3883 
    619 	10032.3903 
    622 	10032.4122 
    624 	10032.4301 
    626 	10032.4247 
    628 	10032.4279 
    630 	10032.4418 
    632 	10032.4516 
    634 	10032.4556 
    636 	10032.4624 
    639 	10032.4687 
    641 	10032.4764 
    643 	10032.4767 
    645 	10032.4768 
    647 	10032.4988 
    649 	10032.4993 
    651 	10032.5228 
    653 	10032.5201 
    656 	10032.5225 
    658 	10032.5221 
    660 	10032.5363 
    662 	10032.5448 
    664 	10032.5491 
    666 	10032.5594 
    668 	10032.5479 
    670 	10032.5545 
    673 	10032.569 
    675 	10032.5713 
    677 	10032.5764 
    679 	10032.5983 
    681 	10032.5822 
    683 	10032.5978 
    685 	10032.5907 
    687 	10032.6055 
    690 	10032.6152 
    692 	10032.6205 
    694 	10032.6216 
    696 	10032.6267 
    698 	10032.6287 
    700 	 10032.65 
    702 	10032.6561 
    704 	10032.6375 
    707 	10032.6483 
    709 	10032.6544 
    711 	10032.662 
    713 	10032.6581 
    715 	10032.6623 
    717 	10032.6664 
    719 	10032.6797 
    721 	10032.6742 
    724 	10032.6915 
    726 	10032.6894 
    728 	10032.7045 
    730 	10032.6988 
    732 	10032.7127 
    734 	10032.7086 
    736 	10032.7056 
    738 	10032.7275 
    741 	10032.7221 
    743 	10032.7255 
    745 	10032.7434 
    747 	10032.7349 
    749 	10032.7454 
    751 	10032.7403 
    753 	10032.7541 
    755 	10032.7468 
    758 	10032.7531 
    760 	10032.7562 
    762 	10032.7618 
    764 	10032.7613 
    766 	10032.7798 
    768 	10032.7799 
    770 	10032.7735 
    772 	10032.7717 
    775 	10032.7905 
    777 	10032.7869 
    779 	10032.7992 
    781 	10032.7785 
    783 	10032.7895 
    785 	10032.7969 
    787 	10032.8095 
    790 	10032.803 
    792 	10032.7952 
    794 	10032.8048 
    796 	10032.816 
    798 	10032.804 
    800 	10032.8138 
    802 	10032.8264 
    804 	10032.8434 
    806 	10032.8252 
    809 	10032.8251 
    811 	10032.8256 
    813 	10032.8351 
    815 	10032.8414 
    817 	10032.8369 
    819 	10032.8406 
    821 	10032.8431 
    823 	10032.8395 
    826 	10032.8552 
    828 	10032.849 
    830 	10032.8554 
    832 	10032.854 
    834 	10032.8615 
    836 	10032.8595 
    838 	10032.8558 
    840 	10032.8595 
    843 	10032.8617 
    845 	10032.8589 
    847 	10032.8705 
    849 	10032.8582 
    851 	10032.8542 
    853 	10032.8616 
    855 	10032.8737 
    857 	10032.8751 
    860 	10032.8639 
    862 	10032.8652 
    864 	10032.8739 
    866 	10032.8763 
    868 	10032.8702 
    870 	10032.8715 
    872 	10032.8782 
    875 	10032.8808 
    877 	10032.8749 
    879 	10032.8699 
    881 	10032.8677 
    883 	10032.8729 
    885 	10032.8861 
    887 	10032.888 
    889 	10032.8854 
    891 	 10032.88 
    894 	10032.8834 
    896 	10032.8852 
    898 	10032.8932 
    900 	10032.8925 
    902 	10032.8898 
    904 	10032.8901 
    906 	10032.8916 
    908 	10032.8919 
    911 	10032.8858 
    913 	10032.8919 
    915 	10032.895 
    917 	10032.8855 
    919 	10032.8881 
    921 	10032.8861 
    923 	10032.8992 
    926 	10032.8864 
    928 	10032.8889 
    930 	10032.9013 
    932 	10032.8818 
    934 	10032.8818 
    936 	10032.899 
    938 	10032.8829 
    940 	10032.8976 
    942 	10032.8855 
    945 	10032.8807 
    947 	10032.8884 
    949 	10032.8984 
    951 	10032.8886 
    953 	10032.8792 
    955 	10032.8765 
    957 	10032.8835 
    960 	10032.8873 
    962 	10032.8777 
    964 	10032.8894 
    966 	10032.8919 
    968 	10032.8666 
    970 	10032.8855 
    972 	10032.8823 
    974 	10032.8704 
    976 	10032.8682 
    979 	10032.8555 
    981 	10032.8879 
    983 	10032.873 
    985 	10032.8629 
    987 	10032.8746 
    989 	10032.8907 
    991 	10032.8734 
    993 	10032.8566 
    996 	10032.8936 
    998 	10032.8463 
   1000 	10032.8808 
   1002 	10032.8686 
   1004 	10032.8477 
   1006 	10032.8825 
   1008 	10032.8631 
   1011 	10032.8523 
   1013 	10032.8646 
   1015 	10032.8635 
   1017 	10032.8451 
   1019 	10032.851 
   1021 	10032.8389 
   1023 	10032.8252 
   1025 	10032.8515 
   1027 	10032.8579 
   1030 	10032.8321 
   1032 	10032.8305 
   1034 	10032.8438 
   1036 	10032.8297 
   1038 	10032.8493 
   1040 	10032.817 
   1042 	10032.8265 
   1045 	10032.8374 
   1047 	10032.8056 
   1049 	10032.8194 
   1051 	10032.832 
   1053 	10032.8039 
   1055 	10032.812 
   1057 	10032.8083 
   1059 	10032.8121 
   1061 	10032.8265 
   1064 	10032.8038 
   1066 	10032.7827 
   1068 	10032.8122 
   1070 	10032.7956 
   1072 	10032.7855 
   1074 	10032.7981 
   1076 	10032.7962 
   1079 	10032.7818 
   1081 	10032.7856 
   1083 	10032.7786 
   1085 	10032.7752 
   1087 	10032.8054 
   1089 	10032.7747 
   1091 	10032.7588 
   1093 	10032.7888 
   1096 	10032.7664 
   1098 	10032.7626 
   1100 	10032.797 
   1102 	10032.7647 
   1104 	10032.7386 
   1106 	10032.7581 
   1108 	10032.7651 
   1110 	10032.7341 
   1113 	10032.751 
   1115 	10032.7615 
   1117 	10032.707 
   1119 	10032.7419 
   1121 	10032.731 
   1123 	10032.7194 
   1125 	10032.7402 
   1127 	10032.7119 
   1129 	10032.7112 
   1132 	10032.7245 
   1134 	10032.703 
   1136 	10032.7137 
   1138 	10032.7038 
   1140 	10032.7015 
   1142 	10032.7063 
   1144 	10032.6933 
   1147 	10032.6849 
   1149 	10032.7028 
   1151 	10032.6919 
   1153 	10032.6788 
   1155 	10032.6977 
   1157 	10032.6683 
   1159 	10032.6803 
   1161 	10032.6484 
   1163 	10032.6558 
   1166 	10032.6962 
   1168 	10032.6534 
   1170 	10032.6493 
   1172 	10032.6502 
   1174 	10032.6352 
   1176 	10032.6481 
   1178 	10032.6584 
   1181 	10032.6357 
   1183 	10032.619 
   1185 	10032.6448 
   1187 	10032.6069 
   1189 	10032.6157 
   1191 	10032.6277 
   1193 	10032.5948 
   1195 	10032.6204 
   1198 	10032.612 
   1200 	10032.5844 
   1202 	10032.6048 
   1204 	10032.5818 
   1206 	10032.5699 
   1208 	10032.5922 
   1210 	10032.5824 
   1212 	10032.5733 
   1214 	10032.5765 
   1217 	10032.5677 
   1219 	10032.5593 
   1221 	10032.5795 
   1223 	10032.5374 
   1225 	10032.5367 
   1227 	10032.5502 
   1229 	10032.5358 
   1232 	10032.5249 
   1234 	10032.5372 
   1236 	10032.5109 
   1238 	10032.5225 
   1240 	10032.5172 
   1242 	10032.5046 
   1244 	10032.5173 
   1246 	10032.4933 
   1249 	10032.4948 
   1251 	10032.501 
   1253 	10032.4797 
   1255 	10032.4689 
   1257 	10032.4938 
   1259 	10032.4625 
   1261 	10032.4438 
   1263 	10032.4635 
   1266 	10032.453 
   1268 	10032.4338 
   1270 	10032.4388 
   1272 	10032.4477 
   1274 	10032.4196 
   1276 	10032.4347 
   1278 	10032.4125 
   1280 	10032.3956 
   1283 	10032.4226 
   1285 	10032.3887 
   1287 	 10032.39 
   1289 	10032.4058 
   1291 	10032.3649 
   1293 	10032.3889 
   1295 	10032.381 
   1297 	 10032.34 
   1299 	10032.3705 
   1302 	10032.3717 
   1304 	10032.3425 
   1306 	10032.3432 
   1308 	10032.3579 
   1310 	10032.3328 
   1312 	10032.3137 
   1314 	10032.3263 
   1317 	10032.3378 
   1319 	10032.3121 
   1321 	10032.3054 
   1323 	10032.3203 
   1325 	10032.2862 
   1327 	10032.2889 
   1329 	10032.308 
   1331 	10032.2737 
   1334 	10032.2565 
   1336 	10032.2776 
   1338 	10032.2764 
   1340 	10032.2402 
   1342 	10032.2557 
   1344 	10032.2744 
   1346 	10032.2372 
   1348 	10032.2279 
   1351 	10032.2486 
   1353 	10032.2215 
   1355 	10032.225 
   1357 	10032.2017 
   1359 	10032.216 
   1361 	10032.2059 
   1363 	10032.1878 
   1365 	10032.2085 
   1368 	10032.1993 
   1370 	10032.1667 
   1372 	10032.1868 
   1374 	10032.1711 
   1376 	10032.1606 
   1378 	10032.1822 
   1380 	10032.1698 
   1382 	10032.1443 
   1385 	10032.1424 
   1387 	10032.1224 
   1389 	10032.1284 
   1391 	10032.1362 
   1393 	10032.1269 
   1395 	10032.1026 
   1397 	10032.0995 
   1399 	10032.1048 
   1402 	10032.0783 
   1404 	10032.0906 
   1406 	10032.0984 
   1408 	10032.0753 
   1410 	10032.0751 
   1412 	10032.0555 
   1414 	10032.0586 
   1416 	10032.0468 
   1419 	10032.0361 
   1421 	10032.0155 
   1423 	10032.0235 
   1425 	10032.0237 
   1427 	10032.0091 
   1429 	10032.014 
   1431 	10031.9984 
   1433 	10031.9845 
   1436 	10031.9853 
   1438 	10031.9902 
   1440 	10031.9681 
   1442 	10031.9618 
   1444 	10031.9593 
   1446 	10031.9532 
   1448 	10031.9592 
   1450 	10031.941 
   1453 	10031.9188 
   1455 	10031.9177 
   1457 	10031.9303 
   1459 	10031.9065 
   1461 	10031.902 
   1463 	10031.8875 
   1465 	10031.8897 
   1467 	10031.8779 
   1470 	10031.8871 
   1472 	10031.8638 
   1474 	10031.8932 
   1476 	10031.8536 
   1478 	10031.8627 
   1480 	10031.8543 
   1482 	10031.8359 
   1484 	10031.8463 
   1487 	10031.846 
   1489 	10031.8166 
   1491 	10031.8219 
   1493 	10031.8108 
   1495 	10031.7986 
   1497 	10031.8114 
   1499 	10031.7806 
   1502 	10031.7713 
   1504 	10031.7877 
   1506 	10031.7746 
   1508 	 10031.76 
   1510 	10031.7624 
   1512 	10031.7529 
   1514 	10031.7521 
   1516 	10031.7314 
   1518 	10031.7288 
   1521 	10031.7242 
   1523 	10031.7046 
   1525 	10031.6912 
   1527 	10031.693 
   1529 	10031.6888 
   1531 	10031.6689 
   1533 	10031.6636 
   1535 	10031.6763 
   1538 	10031.655 
   1540 	10031.6551 
   1542 	10031.6577 
   1544 	10031.6274 
   1546 	10031.6277 
   1548 	10031.6382 
   1550 	10031.6189 
   1553 	10031.6053 
   1555 	10031.618 
   1557 	10031.5944 
   1559 	10031.5931 
   1561 	10031.5916 
   1563 	10031.5773 
   1565 	10031.5637 
   1567 	10031.5643 
   1569 	10031.5501 
   1572 	10031.552 
   1574 	10031.5223 
   1576 	10031.5457 
   1578 	10031.5157 
   1580 	10031.5125 
   1582 	10031.5129 
   1584 	10031.5131 
